IT_CA_1    = "Thiên Thần"
IT_CA_2    = "Giảm Phí"
IT_CA_3    = "Bảo Vệ"
IT_CA_4    = "Bán Nhà"
IT_CA_5    = "Hoán Đổi"
IT_CA_6    = "Thế lực siêu nhiên"
IT_CA_7    = "Động Đất"
IT_CA_8    = "Bệnh dịch"
IT_CA_9    = "Bão Cát"
IT_CA_10    = "Mất Điện"
IT_CA_11    = "Đóng Thuế"
IT_CA_12    = "Lễ hội"
IT_CA_13    = "Đến Lễ Hội"
IT_CA_14    = "Ra Đảo"
IT_CA_15    = "Du Lịch"
IT_CA_16    = "Bắt Đầu"
IT_CA_17    = "Tổ chức lễ hội"
IT_CA_18    = "Tăng Phí"
IT_CA_19    = "Tặng Đất"
IT_CA_20    = "Tặng Tiền"
IT_CA_21    = "Quay lại bàn chơi"
IT_CA_22    = "Thần triệu tập"
IT_CA_23    = "Chong chóng"
IT_CA_24    = "Ngân hàng"
IT_CA_25    = "Khinh khí cầu"
IT_CA_29    = "Đến Cột Cờ"
IT_CA_30    = "Đến ô nước"
IT_CA_1_DES    = "Miễn 100% phí khi vào ô đất"
IT_CA_2_DES    = "Giảm 50% phí khi vào ô đất của người khác"
IT_CA_3_DES    = "Vô hiệu hoá tấn công từ người chơi khác"
IT_CA_4_DES    = "Được quyền buộc người khác phải bán một nhà bất kỳ đang sở hữu"
IT_CA_5_DES    = "Phải đổi một nhà bất kỳ với người chơi khác"
IT_CA_6_DES    = "Gây hoả hoạn thiêu huỷ 1 cấp nhà"
IT_CA_7_DES    = "Tạo động đất phá huỷ thành phố"
IT_CA_8_DES    = "Phát tán virut gây dịch bệnh cho thành phố"
IT_CA_9_DES    = "Gây bão cát cho thành phố"
IT_CA_10_DES    = "Cắt nguồn điện của thành phố"
IT_CA_11_DES    = "Di chuyển tới ô thuế"
IT_CA_12_DES    = "Di chuyển tới lễ hội"
IT_CA_13_DES    = "Di chuyển tới ô đất đang tổ chức lễ hội"
IT_CA_14_DES    = "Người chơi phải ra đảo nghỉ dưỡng"
IT_CA_15_1_DES    = "Tới ô bến xe"
IT_CA_15_2_DES    = "Tới bến khế"
IT_CA_15_3_DES    = "Tới ô Xoáy Nước"
IT_CA_16_DES    = "Di chuyển tới ô xuất phát"
IT_CA_17_DES    = "Miễn phí tổ chức lễ hội"
IT_CA_18_DES    = "Người chơi phải chịu gấp đôi phí tham quan trong lượt tiếp theo"
IT_CA_19_DES    = "Người chơi buộc phải tặng một ô đất cho đối thủ bất kỳ"
IT_CA_20_DES    = "Tất cả mọi người buộc phải tặng tiền cho người chơi nghèo nhất."
IT_CA_21_DES    = "Sử dụng để đưa người chơi quay lại bàn chơi từ ngoài đảo"
IT_CA_22_DES    = "Di chuyển tới một trong các Tượng Thần"
IT_CA_23_DES    = "Sử dụng để vượt qua ô đất bị nhấc lên hoặc bẫy của đổi thủ."
IT_CA_24_DES    = "Di chuyển đến ô Ngân hàng"
IT_CA_25_DES    = "Di chuyển đến ô Khinh khí cầu"
IT_CA_29_DES    = "Di chuyển đến ô Cột Cờ gần nhất"
IT_CA_30_DES    = "Di chuyển đến ô Ô Xoáy nước gần nhất"
